cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
47.23,Medio nublado,6,Este,92.0,20221031T12,20,267,17.3217,-96.5692,2,Oaxaca,San Miguel del Río,1.6,95.0,7.59,25.46,10.79,3.68
31.18,Medio nublado,6,Noreste,52.58,20221101T12,20,267,17.3217,-96.5692,3,Oaxaca,San Miguel del Río,0.27,95.0,9.96,25.7,9.24,5.84
42.72,Medio nublado,6,Este,68.45,20221029T12,20,268,16.5804,-96.7394,0,Oaxaca,San Miguel Ejutla,0.55,0.0,11.61,27.42,13.94,6.73
36.11,Medio nublado,6,Este,97.29,20221030T12,20,268,16.5804,-96.7394,1,Oaxaca,San Miguel Ejutla,0.08,0.0,15.28,28.14,13.22,5.16
16.41,Poco nuboso,6,Sureste,127.41,20221031T12,20,268,16.5804,-96.7394,2,Oaxaca,San Miguel Ejutla,0.25,95.0,11.62,28.86,13.65,4.25
16.72,Poco nuboso,6,Este,89.54,20221101T12,20,268,16.5804,-96.7394,3,Oaxaca,San Miguel Ejutla,0.35,95.0,14.4,29.39,15.04,5.38
25.96,Medio nublado,6,Sureste,122.15,20221029T12,20,290,17.7829,-98.1426,0,Oaxaca,San Nicolás Hidalgo,0.05,0.0,10.54,30.72,15.53,5.38
39.79,Medio nublado,6,Sur,185.34,20221030T12,20,290,17.7829,-98.1426,1,Oaxaca,San Nicolás Hidalgo,1.3,80.0,13.3,30.32,15.58,5.52
19.52,Poco nuboso,6,Suroeste,224.88,20221031T12,20,290,17.7829,-98.1426,2,Oaxaca,San Nicolás Hidalgo,0.94,80.0,14.63,30.15,16.99,4.85
18.56,Poco nuboso,6,Sur,200.66,20221101T12,20,290,17.7829,-98.1426,3,Oaxaca,San Nicolás Hidalgo,0.18,0.0,15.03,30.12,14.42,5.55
48.78,Medio nublado,6,Sureste,154.82,20221029T12,20,295,16.8267,-96.781,0,Oaxaca,San Pablo Huixtepec,0.76,95.0,10.59,26.79,13.07,6.16
40.6,Medio nublado,6,Sureste,153.58,20221030T12,20,295,16.8267,-96.781,1,Oaxaca,San Pablo Huixtepec,0.14,0.0,13.32,27.86,12.69,5.05
28.6,Medio nublado,6,Sur,159.23,20221031T12,20,295,16.8267,-96.781,2,Oaxaca,San Pablo Huixtepec,0.43,95.0,11.16,28.28,13.39,4.34
31.25,Medio nublado,6,Este,102.2,20221101T12,20,295,16.8267,-96.781,3,Oaxaca,San Pablo Huixtepec,0.43,0.0,14.54,28.73,12.45,5.46
68.16,Cielo nublado,6,Este,100.31,20221029T12,20,299,17.1461,-96.2296,0,Oaxaca,San Pablo Yaganiza,3.12,95.0,12.33,22.84,11.89,6.83
44.12,Medio nublado,6,Sureste,120.37,20221030T12,20,299,17.1461,-96.2296,1,Oaxaca,San Pablo Yaganiza,0.36,95.0,9.86,25.2,12.0,5.97
45.49,Medio nublado,6,Sureste,120.04,20221031T12,20,299,17.1461,-96.2296,2,Oaxaca,San Pablo Yaganiza,1.12,95.0,9.93,25.66,12.0,4.77
36.31,Medio nublado,6,Este,91.03,20221101T12,20,299,17.1461,-96.2296,3,Oaxaca,San Pablo Yaganiza,0.59,95.0,10.5,26.51,12.83,6.14
47.52,Medio nublado,6,Sureste,131.97,20221029T12,20,301,16.7351,-96.726,0,Oaxaca,San Pedro Apóstol,0.62,95.0,11.2,27.3,13.4,6.18
40.47,Medio nublado,6,Sureste,145.0,20221030T12,20,301,16.7351,-96.726,1,Oaxaca,San Pedro Apóstol,0.06,0.0,15.5,28.4,13.1,4.93
27.45,Medio nublado,6,Sureste,156.54,20221031T12,20,301,16.7351,-96.726,2,Oaxaca,San Pedro Apóstol,0.34,95.0,11.9,28.9,13.8,4.31
31.16,Medio nublado,6,Este,93.0,20221101T12,20,301,16.7351,-96.726,3,Oaxaca,San Pedro Apóstol,0.28,0.0,16.6,29.5,12.8,5.41
68.16,Cielo nublado,6,Este,100.31,20221029T12,20,303,17.1687,-96.2606,0,Oaxaca,San Pedro Cajonos,3.12,95.0,12.33,22.84,11.89,6.83
44.12,Medio nublado,6,Sureste,120.37,20221030T12,20,303,17.1687,-96.2606,1,Oaxaca,San Pedro Cajonos,0.36,95.0,9.86,25.2,12.0,5.97
45.49,Medio nublado,6,Sureste,120.04,20221031T12,20,303,17.1687,-96.2606,2,Oaxaca,San Pedro Cajonos,1.12,95.0,9.93,25.66,12.0,4.77
36.31,Medio nublado,6,Este,91.03,20221101T12,20,303,17.1687,-96.2606,3,Oaxaca,San Pedro Cajonos,0.59,95.0,10.5,26.51,12.83,6.14
75.66,Cielo nublado,6,Este,96.55,20221029T12,20,322,18.1849,-96.9132,0,Oaxaca,San Pedro Ocopetatillo,5.6,95.0,10.22,22.87,16.26,4.19
51.88,Cielo nublado,6,Sureste,115.0,20221030T12,20,322,18.1849,-96.9132,1,Oaxaca,San Pedro Ocopetatillo,0.37,60.0,9.36,27.48,15.12,4.67
32.68,Medio nublado,6,Sureste,131.26,20221031T12,20,322,18.1849,-96.9132,2,Oaxaca,San Pedro Ocopetatillo,0.28,95.0,8.94,27.37,14.71,4.6
21.42,Poco nuboso,6,Sureste,120.36,20221101T12,20,322,18.1849,-96.9132,3,Oaxaca,San Pedro Ocopetatillo,0.6,80.0,9.22,28.18,15.77,4.66
39.89,Medio nublado,6,Este,76.15,20221029T12,20,341,17.561,-97.4826,0,Oaxaca,San Pedro Yucunama,0.22,95.0,16.49,23.45,10.53,8.08
40.72,Medio nublado,6,Este,93.21,20221030T12,20,341,17.561,-97.4826,1,Oaxaca,San Pedro Yucunama,0.12,0.0,18.54,26.07,10.27,6.41
22.09,Poco nuboso,6,Este,101.62,20221031T12,20,341,17.561,-97.4826,2,Oaxaca,San Pedro Yucunama,0.57,95.0,11.98,26.17,10.71,4.26
6.0,Despejado,6,Noreste,63.89,20221101T12,20,341,17.561,-97.4826,3,Oaxaca,San Pedro Yucunama,0.03,0.0,18.64,25.99,8.8,6.31
48.24,Medio nublado,6,Sur,199.62,20221029T12,20,342,16.9704,-96.7555,0,Oaxaca,San Raymundo Jalpan,0.94,95.0,10.08,26.49,12.87,6.05
38.93,Medio nublado,6,Sur,163.88,20221030T12,20,342,16.9704,-96.7555,1,Oaxaca,San Raymundo Jalpan,0.03,0.0,11.49,27.42,12.42,5.47
31.78,Medio nublado,6,Sur,164.62,20221031T12,20,342,16.9704,-96.7555,2,Oaxaca,San Raymundo Jalpan,0.44,20.0,12.0,27.91,13.25,4.74
28.12,Medio nublado,6,Sureste,130.31,20221101T12,20,342,16.9704,-96.7555,3,Oaxaca,San Raymundo Jalpan,0.22,0.0,13.02,28.45,12.0,5.89
46.88,Medio nublado,6,Sureste,146.64,20221029T12,20,350,17.0585,-96.6721,0,Oaxaca,San Sebastián Tutla,1.42,95.0,10.21,25.4,12.08,5.93
41.15,Medio nublado,6,Sureste,129.46,20221030T12,20,350,17.0585,-96.6721,1,Oaxaca,San Sebastián Tutla,0.12,80.0,12.21,26.53,11.63,6.27
40.61,Medio nublado,6,Sureste,157.17,20221031T12,20,350,17.0585,-96.6721,2,Oaxaca,San Sebastián Tutla,0.8,80.0,11.83,26.78,12.96,5.35
21.45,Poco nuboso,6,Sureste,127.07,20221101T12,20,350,17.0585,-96.6721,3,Oaxaca,San Sebastián Tutla,0.22,80.0,12.68,27.63,11.04,6.94
75.66,Cielo nublado,6,Este,96.55,20221029T12,20,354,18.2106,-96.9064,0,Oaxaca,Santa Ana Ateixtlahuaca,5.6,95.0,10.22,22.87,16.26,4.19
51.88,Cielo nublado,6,Sureste,115.0,20221030T12,20,354,18.2106,-96.9064,1,Oaxaca,Santa Ana Ateixtlahuaca,0.37,60.0,9.36,27.48,15.12,4.67
32.68,Medio nublado,6,Sureste,131.26,20221031T12,20,354,18.2106,-96.9064,2,Oaxaca,Santa Ana Ateixtlahuaca,0.28,95.0,8.94,27.37,14.71,4.6
21.42,Poco nuboso,6,Sureste,120.36,20221101T12,20,354,18.2106,-96.9064,3,Oaxaca,Santa Ana Ateixtlahuaca,0.6,80.0,9.22,28.18,15.77,4.66
47.65,Medio nublado,6,Sur,178.79,20221029T12,20,369,16.8803,-96.7407,0,Oaxaca,Santa Catarina Quiané,0.87,95.0,10.23,26.61,13.05,6.08
39.21,Medio nublado,6,Sur,158.09,20221030T12,20,369,16.8803,-96.7407,1,Oaxaca,Santa Catarina Quiané,0.01,0.0,12.38,27.67,12.57,5.39
30.51,Medio nublado,6,Sur,161.86,20221031T12,20,369,16.8803,-96.7407,2,Oaxaca,Santa Catarina Quiané,0.36,80.0,11.86,28.16,13.34,4.67
28.36,Medio nublado,6,Sureste,116.21,20221101T12,20,369,16.8803,-96.7407,3,Oaxaca,Santa Catarina Quiané,0.22,0.0,14.16,28.73,12.3,5.79
48.23,Medio nublado,6,Sur,188.23,20221029T12,20,375,17.0587,-96.684,0,Oaxaca,Santa Cruz Amilpas,1.28,95.0,10.72,25.75,12.33,6.0
40.04,Medio nublado,6,Sureste,150.8,20221030T12,20,375,17.0587,-96.684,1,Oaxaca,Santa Cruz Amilpas,0.11,20.0,12.0,26.75,11.72,5.93
37.46,Medio nublado,6,Sur,162.64,20221031T12,20,375,17.0587,-96.684,2,Oaxaca,Santa Cruz Amilpas,0.63,20.0,11.89,27.1,12.85,5.09
24.46,Poco nuboso,6,Sureste,140.48,20221101T12,20,375,17.0587,-96.684,3,Oaxaca,Santa Cruz Amilpas,0.23,20.0,11.79,27.74,11.26,6.52
40.34,Medio nublado,6,Este,67.73,20221029T12,20,383,17.3578,-97.5686,0,Oaxaca,Santa Cruz Tayata,0.76,95.0,12.23,24.1,10.51,6.61
39.41,Medio nublado,6,Sureste,123.33,20221030T12,20,383,17.3578,-97.5686,1,Oaxaca,Santa Cruz Tayata,0.7,0.0,13.29,25.8,10.07,5.18
10.9,Poco nuboso,6,Sureste,118.82,20221031T12,20,383,17.3578,-97.5686,2,Oaxaca,Santa Cruz Tayata,0.77,95.0,13.84,25.48,10.78,4.43
5.67,Despejado,6,Este,82.04,20221101T12,20,383,17.3578,-97.5686,3,Oaxaca,Santa Cruz Tayata,0.5,95.0,14.15,25.85,9.04,5.73
46.45,Medio nublado,6,Sureste,137.12,20221029T12,20,389,16.8087,-96.7563,0,Oaxaca,Santa Inés Yatzeche,0.85,95.0,10.52,26.95,13.42,6.1
39.76,Medio nublado,6,Sureste,146.52,20221030T12,20,389,16.8087,-96.7563,1,Oaxaca,Santa Inés Yatzeche,0.06,0.0,15.24,28.22,13.05,5.15
27.99,Medio nublado,6,Sureste,156.34,20221031T12,20,389,16.8087,-96.7563,2,Oaxaca,Santa Inés Yatzeche,0.23,95.0,12.43,28.66,13.73,4.52
28.85,Medio nublado,6,Este,88.0,20221101T12,20,389,16.8087,-96.7563,3,Oaxaca,Santa Inés Yatzeche,0.28,0.0,16.43,29.24,12.81,5.58
43.59,Medio nublado,6,Sureste,121.56,20221029T12,20,393,16.7422,-96.6804,0,Oaxaca,Santa Lucía Ocotlán,0.59,95.0,10.12,26.98,13.54,6.17
38.09,Medio nublado,6,Sureste,136.15,20221030T12,20,393,16.7422,-96.6804,1,Oaxaca,Santa Lucía Ocotlán,0.0,0.0,15.56,28.19,13.17,5.44
25.57,Medio nublado,6,Sureste,148.57,20221031T12,20,393,16.7422,-96.6804,2,Oaxaca,Santa Lucía Ocotlán,0.3,80.0,13.33,28.72,13.72,4.72
